Timestamp,VehicleID,Gear,EngineRPM,EngineTemp,OilPressure,Vibration
1/1/2024 0:00,VH_39,1,1785,100.8,35.6,1.22
1/1/2024 0:01,VH_29,4,2323,102.2,49,1
1/1/2024 0:02,VH_15,5,2357,67.4,38.5,1.04
1/1/2024 0:03,VH_43,4,1483,84,43,1.18
1/1/2024 0:04,VH_8,3,1949,79.8,53.4,1.17
1/1/2024 0:05,VH_21,4,1992,91.5,48.1,0.88
1/1/2024 0:06,VH_39,5,2235,69.8,46.9,1.12
1/1/2024 0:07,VH_19,1,1958,69.5,49.7,1.12
1/1/2024 0:08,VH_23,2,2188,111.7,49.5,1.06
1/1/2024 0:09,VH_11,3,2136,96.2,52.9,1.21
1/1/2024 0:10,VH_11,5,2152,91.2,42,1.16
1/1/2024 0:11,VH_24,3,1985,93.6,43.1,1.15
1/1/2024 0:12,VH_36,4,2008,91.5,40.4,1.27
1/1/2024 0:13,VH_40,3,1875,100,44.8,1.01
1/1/2024 0:14,VH_24,5,2314,83.7,44.3,1.01
1/1/2024 0:15,VH_3,2,2371,91.9,36.2,1.16
1/1/2024 0:16,VH_22,2,1968,92.3,41.7,0.96
1/1/2024 0:17,VH_2,3,2656,79.5,52.2,1.1
1/1/2024 0:18,VH_24,1,2105,102.8,46.2,0.89
1/1/2024 0:19,VH_44,3,2659,85.5,48.6,0.54
1/1/2024 0:20,VH_30,4,2007,100.2,44.4,1.12
1/1/2024 0:21,VH_38,2,1592,91.1,35.6,0.69
1/1/2024 0:22,VH_2,2,2320,106.3,44.4,0.86
1/1/2024 0:23,VH_21,2,2274,79.6,50.2,1.16
1/1/2024 0:24,VH_33,1,2210,79.2,39.1,1.17
1/1/2024 0:25,VH_12,1,2007,80.9,48.7,1.24
1/1/2024 0:26,VH_22,5,2189,91.3,36.5,0.6
1/1/2024 0:27,VH_44,3,2046,105.4,45.1,1.06
1/1/2024 0:28,VH_25,3,2109,105.9,47.7,0.95
1/1/2024 0:29,VH_49,4,2452,66.9,43.4,1.2
1/1/2024 0:30,VH_27,2,2255,92.5,57.4,1.3
1/1/2024 0:31,VH_42,1,2382,57.9,42.5,0.74
1/1/2024 0:32,VH_28,4,2130,98,42.1,1
1/1/2024 0:33,VH_16,4,2097,101.2,46,1.17
1/1/2024 0:34,VH_15,1,1853,89.6,41.2,0.93
1/1/2024 0:35,VH_47,3,2088,90.8,37.8,1.35
1/1/2024 0:36,VH_44,2,1203,90.7,39.5,0.92
1/1/2024 0:37,VH_3,3,2022,82.2,48.8,0.94
1/1/2024 0:38,VH_37,4,2175,94.3,43.5,0.79
1/1/2024 0:39,VH_7,2,2369,87.7,53.5,1.03
1/1/2024 0:40,VH_21,5,2119,99.3,42.8,0.4
1/1/2024 0:41,VH_9,4,2304,88.9,48.6,0.95
1/1/2024 0:42,VH_39,3,1546,81.4,47.6,1.25
1/1/2024 0:43,VH_18,3,2182,74.6,42.7,0.72
1/1/2024 0:44,VH_4,3,1696,71.4,40.6,0.68
1/1/2024 0:45,VH_25,1,1837,103.1,36.3,1.22
1/1/2024 0:46,VH_14,4,2143,85.4,47.8,1.25
1/1/2024 0:47,VH_50,2,2582,93.4,51,0.73
1/1/2024 0:48,VH_9,3,2311,107.8,37.1,1.35
1/1/2024 0:49,VH_26,3,2205,84.4,43.1,1.09
1/1/2024 0:50,VH_2,1,2194,83.7,41.7,1.21
1/1/2024 0:51,VH_20,2,1985,88.7,47.8,0.84
1/1/2024 0:52,VH_28,4,2036,90.3,43.4,1.3
1/1/2024 0:53,VH_47,5,2328,108.9,51.6,0.95
1/1/2024 0:54,VH_7,1,1784,105.7,43.1,0.94
1/1/2024 0:55,VH_44,4,2377,96.2,38.8,1.1
1/1/2024 0:56,VH_8,5,2083,104.5,42.7,0.92
1/1/2024 0:57,VH_47,3,2447,88.2,43.2,0.7
1/1/2024 0:58,VH_35,3,2488,93,47.6,1.03
1/1/2024 0:59,VH_14,2,1698,87,43.1,0.94
1/1/2024 1:00,VH_17,5,2025,77.1,47.2,0.85
1/1/2024 1:01,VH_36,3,1943,102,41,1.25
1/1/2024 1:02,VH_50,3,1656,95.3,43.5,1.48
1/1/2024 1:03,VH_40,2,1890,90.2,41.1,0.82
1/1/2024 1:04,VH_4,4,2932,90,40.8,1.04
1/1/2024 1:05,VH_2,3,2382,74.9,51.4,0.92
1/1/2024 1:06,VH_6,1,2775,80.2,41.4,1.46
1/1/2024 1:07,VH_42,1,2448,93.4,43.3,1.1
1/1/2024 1:08,VH_4,4,1977,84.7,50.2,1.19
1/1/2024 1:09,VH_29,5,2085,87.8,48.8,1.24
1/1/2024 1:10,VH_18,2,2376,89,53.2,1.03
1/1/2024 1:11,VH_26,1,2331,83.2,47.4,0.96
1/1/2024 1:12,VH_44,1,2026,80.3,42,1.3
1/1/2024 1:13,VH_34,4,1747,73.9,55.3,1.16
1/1/2024 1:14,VH_10,5,3186,88.5,47.9,0.83
1/1/2024 1:15,VH_36,5,2157,96.2,44.2,0.86
1/1/2024 1:16,VH_14,4,2102,73.6,45.3,0.92
1/1/2024 1:17,VH_31,1,2234,89.8,45.9,1.23
1/1/2024 1:18,VH_48,2,2127,92.8,43.8,1.29
1/1/2024 1:19,VH_15,1,2236,80.1,38.1,1.43
1/1/2024 1:20,VH_8,5,2586,104.2,53.1,0.86
