Seller Name,,Alpha Trade Corp,Omega Distribution,Nova Traders Ltd,Titan Power Group,Sparkline Pvt Ltd,EchoGrid Solutions,Zenith Networks,Quantum Flux Ltd,BlazeTrade Inc,GridLogic Partners,NeoSpark Ventures,DeltaCore Energy,
Source Region,,West Zone,East Sector,Central Block,North Sector,South Division,West Region,East District,North Wing,Central Node,South Corridor,West Line,North Province,
Source Entity,,WZ Supply Hub,ES Renewable Center,CB Energy Unit,NS Clean Supply,SD Power Plant,WR Energy Base,ED Grid Centre,NW Green Flow,CN Gen Systems,SC Utility Station,WL Hybrid Source,NP Utility Center,
Destination Region,,North Zone,South Sector,West Zone,East Sector,North Division,Central Region,West District,South Wing,East Node,North Corridor,Central Line,East Province,
Buyer Entity,,NZ Power Grid,SS Thermal Exchange,WZ Electric Coop,ES Utility Services,ND Green Grid,CR Smart Utility,WD CleanTech Services,SW Connect Ltd,EN Distribution Ltd,NC Power Authority,CL Renewable Networks,EP Clean Supply,
Document URL,,http://docs.fake/1001,http://docs.fake/1002,http://docs.fake/1003,http://docs.fake/1004,http://docs.fake/1005,http://docs.fake/1006,http://docs.fake/1007,http://docs.fake/1008,http://docs.fake/1009,http://docs.fake/1010,http://docs.fake/1011,http://docs.fake/1012,
Approval Code,,APL-X1001,APL-X1002,APL-X1003,APL-X1004,APL-X1005,APL-X1006,APL-X1007,APL-X1008,APL-X1009,APL-X1010,APL-X1011,APL-X1012,
Type,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sr No,Time Desc,,,,,,,,,,,,,Total
1,00:00-00:15,0,-20,-46,0,-100,-100,-200,0,-37.76,-69.04,-29.62,-100,-702.42
2,00:15-00:30,0,-20,-46,0,-100,-100,-200,0,-37.76,-69.04,-29.62,-100,-702.42
3,00:30-00:45,0,-20,-46,0,-100,-100,-200,0,-37.76,-69.04,-29.62,-100,-702.42
4,00:45-01:00,0,-20,-46,0,-100,-100,-200,0,-37.76,-69.04,-29.62,-100,-702.42
5,01:00-01:15,0,-20,-46,0,-100,-100,-200,0,-37.76,-69.04,-29.62,-100,-702.42
6,01:15-01:30,0,-20,-46,0,-100,-100,-200,0,-37.76,-69.04,-29.62,-100,-702.42
7,01:30-01:45,0,-20,-46,0,-100,-100,-200,0,-37.76,-69.04,-29.62,-100,-702.42
8,01:45-02:00,0,-20,-46,0,-100,-100,-200,0,-37.76,-69.04,-29.62,-100,-702.42
9,02:00-02:15,0,-20,-46,0,-100,-200,-200,0,-37.76,-69.04,-29.62,-100,-802.42
10,02:15-02:30,0,-20,-46,0,-100,-200,-200,0,-37.76,-69.04,-29.62,-100,-802.42
11,02:30-02:45,0,-20,-46,0,-100,-200,-200,0,-37.76,-69.04,-29.62,-100,-802.42
12,02:45-03:00,0,-20,-46,0,-100,-200,-200,0,-37.76,-69.04,-29.62,-100,-802.42
