Seller Name,,PowerRay Traders,LightStream Power,SolarNova LLP,ChargePoint Group,BrightPulse Inc,GreenAxis Pvt Ltd,ClearGrid Exchange,VoltWise Distributors,LumenFlex Pvt Ltd,ZenPower Group,EnerGlow Corp,GridNova Pvt Ltd,
Source Region,,Northern Loop,Southern Zone,Eastern Network,Central Range,West Loop,Northeast Block,South End,North Point,Central Peak,East Belt,South Path,West Segment,
Source Entity,,NL Gen Centre,SZ Hydro Utility,EN Solar Field,CR Electric Hub,WL Energy Works,NB Energy Systems,SE Urban Supply,NP Hybrid Unit,CP Wind Utility,EB Clean Source,SP Energy Flow,WS Wind Zone,
Destination Region,,Southern Loop,Central Zone,Western Network,North Range,East Loop,Southwest Block,North End,South Point,East Peak,West Belt,North Path,Central Segment,
Buyer Entity,,SL Distribution Co.,CZ Green Core,WN Power Services,NR Eco Supply,EL PowerTech,SB Utility Link,NE Grid Flow,SP Electricity Board,EP Smart Network,WB Smart Utility Grid,NP Distribution Point,CS Transmission Line,
Document URL,,http://docs.fake/1016,http://docs.fake/1017,http://docs.fake/1018,http://docs.fake/1019,http://docs.fake/1020,http://docs.fake/1021,http://docs.fake/1022,http://docs.fake/1023,http://docs.fake/1024,http://docs.fake/1025,http://docs.fake/1026,http://docs.fake/1027,
Approval Code,,APL-X1016,APL-X1017,APL-X1018,APL-X1019,APL-X1020,APL-X1021,APL-X1022,APL-X1023,APL-X1024,APL-X1025,APL-X1026,APL-X1027,
Type,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sr No,Time Desc,,,,,,,,,,,,,Total
1,00:00-00:15,-21.57,-36,0,0,-50,-275.31,0,-22.22,-42.55,125,75,0,125.99
2,00:15-00:30,-21.57,-36,0,0,-50,-275.31,0,-22.22,-42.55,125,75,0,125.99
3,00:30-00:45,-21.57,-36,0,0,-50,-275.31,0,-22.22,-42.55,125,75,0,125.99
4,00:45-01:00,-21.57,-36,0,0,-50,-275.31,0,-22.22,-42.55,125,75,0,125.99
5,01:00-01:15,-21.57,-36,0,0,-50,-275.31,0,-22.22,-42.55,125,75,0,125.99
6,01:15-01:30,-21.57,-36,0,0,-50,-275.31,0,-22.22,-42.55,125,75,0,125.99
7,01:30-01:45,-21.57,-36,0,0,-50,-275.31,0,-22.22,-42.55,125,75,0,125.99
8,01:45-02:00,-21.57,-36,0,0,-50,-275.31,0,-22.22,-42.55,125,75,0,125.99
9,02:00-02:15,-21.57,-36,0,0,-50,-275.31,0,-22.22,-42.55,125,75,0,122.24
